$GPGGA,172112.600,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5F
$GPGGA,172112.800,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*51
$GPGGA,172113.000,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*58
$GPGGA,172113.200,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5A
$GPGGA,172113.400,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5C
$GPGGA,172113.600,3732.5817,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*51
$GPGGA,172113.800,3732.5817,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5F
$GPGGA,172114.000,3732.5817,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*50
$GPGGA,172114.200,3732.5817,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*52
$GPGGA,172114.400,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5B
$GPGGA,172114.600,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*59
$GPGGA,172114.800,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*57
$GPGGA,172115.000,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5E
$GPGGA,172115.200,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5C
$GPGGA,172115.400,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5A
$GPGGA,172115.600,3732.5818,N,12216.0989,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*58
$GPGGA,172115.800,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*57
$GPGGA,172116.000,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5C
$GPGGA,172116.200,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5E
$GPGGA,172116.400,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*58
$GPGGA,172116.600,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5A
$GPGGA,172116.800,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*54
$GPGGA,172117.000,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5D
$GPGGA,172117.200,3732.5818,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*5F
$GPGGA,172117.400,3732.5819,N,12216.0988,W,2,6,2.32,12.7,M,-25.6,M,0000,0000*58
